Paper_ID,Title,APA,Abstract_TR,Year,Dataset,Task_Type,Split_Type,Evaluation_Protocol,Input_Type,Spectrogram_Type,Feature_Type,Model_Type,Backbone_Model,Pretraining_Type,Data_Augmentation,Evaluation_Metric,Accuracy,F1_Score,Cross_Dataset_Evaluation,Explainability_Method,Model_Size,Inference_Time,Key_Limitation,Key_Limitation2
1,Music genre classification using deep neural networks and data augmentation,"Ba, T. C., Le, T. D. T., & Van, L. T. (2025). Music genre classification using deep neural networks and data augmentation. Entertainment Computing, 53, 100929.","Bu makale, müzik türü sınıflandırmasını (MGC) GTZAN veri seti üzerinde ele almakta ve artan müzik arşivlerinin otomatik olarak düzenlenmesi gereksinimine odaklanmaktadır. Çalışmada CNN, LSTM, GRU ve Capsule Neural Network (CSN) gibi derin öğrenme modelleri; ses dosyasını bölme, gürültü ekleme ve perde kaydırma gibi veri artırma yöntemleriyle birlikte kullanılmıştır. En dikkat çekici sonuç, Mel spectrogram girdisiyle çalışan CSN modelinin %99.91 doğruluk elde etmesi ve bu değerin GTZAN üzerinde önceki çalışmalardan daha yüksek olmasıdır. Bu yönüyle makale, hem capsule tabanlı mimarilerin gücünü hem de veri artırmanın müzik türü sınıflandırmasındaki etkisini öne çıkarmaktadır.",2025,"GTZAN (10 genres, original 1000 clips; augmented sets S0-S9, best result on S7 with 20000 files)",Single-label music genre classification,"10-fold cross-validation; in the remaining 9 folds, validation:training = 1:8","Accuracy, AUC, Precision, Recall, and F1-score averaged across folds/genres; the best model was selected on the augmented datasets",Mel spectrogram image,Mel spectrogram,Log-Mel / Mel spectrogram-based visual features,"Deep learning comparison with CNN, LSTM, GRU, and CSN; best model = CSN","Custom CNN, custom LSTM, custom GRU, custom Capsule Neural Network (not a pretrained backbone)",None / trained from scratch,"Audio halving (splitting each file into two halves), pitch shifting up/down by one semitone, white noise addition with multiple coefficients (Nc=0.03/0.05/0.07/0.09), and combinations of these methods","Accuracy, AUC, Precision, Recall, F1-score",99.91,"Not reported as a single global value; genre-wise/max-min F1 values were reported, with AUC=1 for the best S7 CSN result",No,None,"CSN: 13,011,024 parameters; GRU: 1,626,250; CNN: 456,954; LSTM: 370,234","Reported only partially: time per epoch and time to best validation accuracy for CSN and GRU (e.g., CSN 0.037–0.461 min/epoch, GRU 0.04–0.83 min/epoch depending on data size)","Evaluation is limited to GTZAN, and no cross-dataset generalization test is provided",Computational complexity is not fully analyzed; model efficiency is only partially discussed through training-time statistics
2,Music genre classification with parallel convolutional neural networks and capuchin search algorithm,"Zhang, Y., & Li, T. (2025). Music genre classification with parallel convolutional neural networks and capuchin search algorithm. Scientific Reports, 15(1), 9580.","Bu çalışma, müzik türü sınıflandırması için DWT, MFCC ve STFT özelliklerini paralel CNN topluluğunda birleştiren ve her CNN’in hiperparametrelerini Capuchin Search Algorithm (CapSA) ile optimize eden bir yöntem önermektedir. Özellikler üç bağımsız CNN’den çıkarılıp birleştirilmekte, son sınıflandırma SoftMax ile yapılmaktadır. Yöntem GTZAN ve Extended-Ballroom veri setlerinde test edilmiş ve sırasıyla %96.20 ve %96.08 civarında doğruluk elde ederek karşılaştırılan yöntemleri geride bırakmıştır. Çalışmanın ayırt edici yanı çoklu özellik temsili, paralel CNN mimarisi ve meta-sezgisel hiperparametre optimizasyonunu birlikte kullanmasıdır.",2025,GTZAN and Extended-Ballroom,Single-label music genre classification,10-fold cross-validation with multiple rounds,"10-fold cross-validation; evaluated using Precision, Recall, F-Measure, Accuracy, and AUC; comparative analysis and ablation study were conducted","MFCC-, DWT-, and STFT-based feature matrices","No Mel spectrogram; STFT is used, along with MFCC and DWT representations",Multi-feature handcrafted/audio representations (DWT + MFCC + STFT),Parallel CNN ensemble + metaheuristic optimization (PCNN+CapSA),"Three custom-designed CNN branches (CNN_MFCC, CNN_DWT, CNN_STFT) + SoftMax",None / trained from scratch,Not reported,"Precision, Recall, F-Measure, Accuracy, AUC",96.20 (GTZAN); 96.08/96.0766 (Extended-Ballroom),96.1957 (GTZAN); 92.7717 (Extended-Ballroom),No,None,Not reported,1.0325 s (GTZAN); 1.021 s (Extended-Ballroom),Limited data coverage: evaluation was mainly conducted only on GTZAN and Extended-Ballroom; broader real-world music diversity was not tested,"Due to the parallel multi-CNN structure, computational cost is higher; the authors state that additional optimizations such as pruning, quantization, and hardware acceleration should be investigated in future work"
3,Efficient music genre recognition using ECAS-CNN: A novel channel-aware neural network architecture,"Ding, Y., Zhang, H., Huang, W., Zhou, X., & Shi, Z. (2024). Efficient music genre recognition using ECAS-CNN: A novel channel-aware neural network architecture. Sensors, 24(21), 7021.","Bu çalışma, müzik türü sınıflandırması için geleneksel CNN’e adaptif kanal dikkat mekanizması ekleyen ECAS-CNN adlı hafif bir kanal-farkındalıklı mimari önermektedir. Model, MFCC tabanlı iki boyutlu özellik haritaları üzerinde çalışmakta ve ECA modülü sayesinde önemli kanalları öne çıkararak karmaşık müzikal özelliklerin çıkarımını iyileştirmektedir. GTZAN veri setinde standart CNN’e göre daha iyi sonuçlar elde eden yöntem, ayrıca ISMIR 2004 üzerinde de karşılaştırılmış ve güçlü genelleme göstermiştir. Çalışmanın ayırt edici yönü, dikkat mekanizmasını daha düşük hesaplama yüküyle kullanarak doğruluk ve verimlilik dengesini hedeflemesidir.",2024,GTZAN; also comparatively evaluated on ISMIR 2004,Single-label music genre classification,Random 80/20 train-test split,"Evaluated using Accuracy, Precision, Recall, and F1-score; comparison with CNN, confusion matrix, loss curve, and PR curve analyses were performed",MFCC-based 2D feature map,MFCC feature map / mel-scale-based cepstral representation,MFCC,Attention-enhanced CNN / channel-aware CNN,Custom ECAS-CNN (4 convolutional layers + ECA modules + FC + Softmax),None / trained from scratch,Not reported,"Accuracy, Precision, Recall, F1-score; additionally PR AUC and confusion matrix analysis",95.26 (GTZAN); 94.28 (ISMIR 2004),95.41 (GTZAN); 95.23 (ISMIR 2004),Yes,None,Not reported,Not reported,"Computational complexity increases; compared with a standard CNN, the ECA module requires additional attention computation and may increase training time and resource requirements on large datasets",The model was validated on only a limited number of datasets; the authors state that further cross-dataset testing and real-world application are needed
4,Deep learning model using SqueezeNet and Promoted Ideal Gas Molecular Motion for music genre classification from audio spectrograms,"Xue, M. (2025). Deep learning model using squeezenet and promoted ideal gas molecular motion for music genre classification from audio spectrograms. Scientific Reports, 15(1), 32170.","Bu çalışma, müzik türü sınıflandırması için SqueezeNet ile Promoted Ideal Gas Molecular Motion (PIGMM) adlı meta-sezgisel optimize ediciyi birleştiren hafif bir derin öğrenme modeli önermektedir. Yöntem, ses sinyallerinden zaman, frekans ve cepstrum alanı özelliklerini çıkarıp spektrogram tabanlı temsil üzerinde SqueezeNet/PIGMM ile sınıflandırma yapmaktadır. GTZAN ve Extended Ballroom veri setlerinde 10-kat çapraz doğrulama ile sırasıyla %91.1 ve %93.4 doğruluk elde edildiği raporlanmış, birleşik özellik kümesinin tekil özelliklerden daha iyi performans verdiği gösterilmiştir. Çalışmanın ayırt edici yönü, hafif bir CNN mimarisini kaos haritası ve opposition-based learning ile güçlendirilmiş bir meta-sezgisel optimizasyon yaklaşımıyla birleştirmesidir.",2025,GTZAN; Extended Ballroom,Single-label music genre classification,10-fold cross-validation,"10-fold cross-validation on GTZAN and Extended Ballroom; evaluated using Accuracy, Precision, and Recall; genre-wise accuracy analysis and method comparison were also performed","Audio spectrograms; additionally, a combined representation derived from extracted acoustic features",Spectrogram,"Input-level combined features: ST-ZCR, STE, Spectral Kurtosis, Spectral Centroid, MFCC, and combined feature F",Hybrid lightweight CNN + metaheuristic optimization,SqueezeNet optimized by PIGMM,None / trained from scratch,Not reported,"Accuracy, Precision, Recall; additionally, MSE-based optimization performance index",91.1 (GTZAN); 93.4 (Extended Ballroom),Not reported,Yes,None,Not reported,Not reported,The model depends on high-quality spectrograms and feature extraction steps; noise and audio artifacts may reduce robustness in practical use,"Further validation on more heterogeneous datasets is required, and the high computational cost of PIGMM may make deployment difficult in low-resource environments"
5,A hybrid parallel computing architecture based on CNN and Transformer for music genre classification,"Chen, J., Ma, X., Li, S., Ma, S., Zhang, Z., & Ma, X. (2024). A hybrid parallel computing architecture based on CNN and transformer for music genre classification. Electronics, 13(16), 3313.","Bu çalışma, müzik türü sınıflandırması için CNN ile Transformer encoder’ı birleştiren CNN-TE adlı hibrit bir mimari önermektedir. Ses sinyalleri mel spektrogramlara dönüştürülmekte, CNN katmanları yerel ve düşük seviyeli örüntüleri çıkarırken Transformer encoder uzun menzilli bağımlılıkları ve küresel özellikleri modellemektedir. Yöntem, GTZAN ve FMA-small veri setlerinde 10-kat çapraz doğrulama ile test edilmiş ve birçok CNN ile saf Transformer tabanlı modele göre daha yüksek doğruluk, daha az parametre ve daha hızlı çıkarım süresi göstermiştir. Çalışmanın ayırt edici yönü, yerel-küresel özellik öğrenimini hafif ve hızlı bir hibrit yapıda dengelemesidir.",2024,GTZAN; FMA-small,Single-label music genre classification,10-fold cross-validation,"10-fold cross-validation on GTZAN and FMA-small; OA, Precision, Recall, F1, confusion matrix, parameter count, and per-sample inference time were reported",Mel spectrogram slices,Mel spectrogram,Mel spectrogram-based 2D visual features,Hybrid CNN + Transformer encoder,CNN-TE (4 2D convolutional layers + 2 Transformer encoder layers + MLP classifier),None / trained from scratch,No data augmentation,"For GTZAN: OA, Precision, Recall, F1, confusion matrix, parameter count, and inference time; for FMA-small: OA, Precision, Recall, F1",87.41 (GTZAN); 89.09 (FMA-small),87.28 (GTZAN); 89.45 (FMA-small),Yes,None,1.46M,3.02 ms per sample (GTZAN),"Despite CNN-TE’s ability to capture global information, some genre pairs can still be confused; for example, rock and country are easily confused due to their similarity","The limitation is not extensively discussed in a dedicated section; however, the study mainly depends on a mel-spectrogram-based setup and is limited to evaluation on GTZAN and FMA-small"
6,Adaptive Feature Fusion Gate and Gated Channel-Spatial Attention in CNN-Transformer Models for Music Genre Classification,"Ma, Y., Ding, Z., Wan, S., Li, H., & Xu, Y. (2026). Adaptive Feature Fusion Gate and Gated Channel-Spatial Attention in CNN-Transformer Models for Music Genre Classification. PLoS One, 21(4), e0344606.","Bu çalışma, müzik türü sınıflandırması için CNN ile Transformer’ı birleştiren CT-GateNet adlı hibrit bir mimari önermektedir. Model, Gated Channel-Spatial Attention (GCSA) ile yerel ayırt edici özellikleri güçlendirirken, Adaptive Feature Fusion Gate (AFFG) ile CNN ve Transformer çıktıları arasında uyarlamalı özellik füzyonu yapmaktadır; ayrıca veri kıtlığını azaltmak için DDIM tabanlı difüzyon destekli veri artırma kullanmaktadır. Yöntem GTZAN, FMA-SMALL ve FMA-Medium veri setlerinde test edilmiş ve sırasıyla %98.72, %89.42 ve %69.07 doğruluk elde ederek güçlü genelleme göstermiştir. Çalışmanın ayırt edici yönü, dikkat mekanizması, uyarlamalı füzyon ve difüzyon tabanlı dengeleme/augmentasyon stratejisini tek bir CNN-Transformer çatısında birleştirmesidir.",2026,GTZAN; FMA-SMALL; FMA-Medium,Single-label music genre classification,"10-fold cross-validation; additionally, train/validation/test = 8:1:1","10-fold cross-validation, reporting averages across all genres; Precision, Recall, F1, and Accuracy were used; ablation and augmentation comparisons were conducted",Mel spectrogram,Mel spectrogram,Mel spectrogram-based visual features; CNN for local representations and Transformer for global representations,Hybrid CNN-Transformer with gated attention and adaptive feature fusion,CT-GateNet (5-stage CNN backbone + GCSA + 2-layer Transformer encoder + AFFG + softmax head),None / trained from scratch,"Yes; DDIM-based diffusion was used to generate samples for underrepresented classes, undersampling was applied to majority classes, and hybrid class balancing was also used","Accuracy, Precision, Recall, F1-score",98.72 (GTZAN); 89.42 (FMA-SMALL); 69.07/68.50 (FMA-Medium; discrepancy between text and table),98.73 (GTZAN); 89.31 (FMA-SMALL); 68.80 (FMA-Medium),Yes,None,9M,Not reported,"Validation on large-scale datasets is limited, and additional validation on larger datasets could not be performed due to hardware constraints","Diffusion-based sample generation is time-consuming; additionally, severe class imbalance and stylistic overlap between genres reduce performance for minority classes, especially on FMA-Medium"
7,Generative adversarial networks based framework for music genre classification,"Dwivedi, P., & Islam, B. (2024). Generative adversarial networks based framework for music genre classification. SN Computer Science, 5(8), 1149.","Bu çalışma, müzik türü sınıflandırması için GAN, Fourier Transform ve Wavelet Transform’u birleştiren hibrit bir çerçeve önermektedir. Yöntem, sentetik ses örnekleri üreterek veri çeşitliliğini artırmakta; frekans alanı ile zaman/tekstür alanı özelliklerini birlikte kullanarak ayırt edici temsil öğrenmektedir. GTZAN, FMA-Small ve ISMIR Genre veri setlerinde sırasıyla %98.97, %92.47 ve %92.98 doğruluk raporlanmış; ayrıca çapraz-tür uyarlanabilirlik ve gürültü/adversarial koşullar altında sağlamlık analizi de yapılmıştır. Çalışmanın ayırt edici yönü, GAN tabanlı veri üretimini Fourier ve Wavelet tabanlı özellik füzyonuyla birleştirerek hem sınıflandırma başarısını hem de türler arası genelleme kapasitesini artırmayı hedeflemesidir.",2024,GTZAN; FMA-Small; ISMIR Genre,Single-label music genre classification,"Not explicitly standardized as a single split; main experiments were reported on datasets, and separate training and test genre groups were used for cross-genre adaptability","Comparative evaluation across multiple datasets; genre-wise Precision/Recall/F1/Accuracy were reported; cross-genre adaptability, robustness evaluation, and ablation study were also conducted",Transformed audio representations after raw audio processing; spectrograms are also used in some stages,Spectrogram is used; Fourier and Wavelet representations are also combined,Fourier frequency-domain features + Wavelet time/texture features + GAN-generated synthetic samples,Hybrid GAN-based framework + classical/deep classifiers,GAN framework (generator + discriminator) with Fourier/Wavelet feature fusion; SVM and neural network classifiers are also mentioned,None / trained from scratch,"Yes; time stretching, pitch shifting, noise addition, speed perturbation, dynamic range compression, and GAN-based synthetic sample generation","Accuracy, Precision, Recall, F1-score; additionally, metrics under robustness conditions",98.97 (GTZAN); 92.47 (FMA-Small); 92.98 (ISMIR Genre),0.92 mean (GTZAN); 0.88 mean (FMA-Small); 0.88 mean (ISMIR Genre),Yes,None,Not reported,Not reported,"The model tends to specialize in the main genres observed during training, and performance drops noticeably on unseen genres; for example, accuracy for Classical falls to around 65% in cross-genre tests",The model shows a clear performance drop under noise and especially adversarial examples; dataset limitations such as short GTZAN clip duration and possible data duplicates also make generalization more difficult
8,Broadcast Swin Transformer for music genre classification,"Duan, Y. (2024). Broadcast swin transformer for music genre classification. HSET, 85, 691–699.","Bu çalışma, müzik türü sınıflandırması için Swin Transformer tabanlı Broadcast Swin Transformer (BST) adlı yeni bir mimari önermektedir. Model, Swin Transformer’a eklenen Broadcast Mechanism sayesinde alt seviye spektrogram dokularını ve çok ölçekli bilgiyi hiyerarşik self-attention ile korumakta; ayrıca SK attention ile farklı zaman-frekans ölçeklerindeki özellikleri dinamik olarak seçmektedir. GTZAN veri setinden çıkarılan mel-spectrogramlar üzerinde yapılan deneylerde model %99.0 Top-1 doğruluk elde etmiş, hem ablasyon çalışmasında hem de önceki yöntemlerle karşılaştırmada güçlü performans göstermiştir. Çalışmanın ayırt edici yönü, özellikle spektrogramlardaki düşük seviyeli zaman-frekans bilgisini Swin Transformer içinde karar sürecine taşıyan broadcast tabanlı çok ölçekli bir yapı sunmasıdır.",2024,GTZAN,Single-label music genre classification,Not explicitly reported,"Evaluated using Top-1 accuracy; confusion matrix, ROC curves, and ablation study were also used",Mel-spectrogram images,Mel-spectrogram,Mel-spectrogram-based time-frequency visual features,Transformer-based vision model with custom broadcast module,Broadcast Swin Transformer (Swin Transformer + hierarchical self-attention + SK attention),None / trained from scratch,"No explicit data augmentation; however, segmenting 30-second files into 3-second chunks is suggested as future augmentation",Top-1 Accuracy; confusion matrix; ROC,99,Not reported,No,None,Not reported,Not reported,"Direct classification of 30-second GTZAN clips is not fully aligned with human auditory perception time; additionally, the dataset is small and each recording is long, increasing the risk of overfitting","Only mel-spectrogram preprocessing was used; richer feature extraction and uncertainty calibration are missing, which may cause the model to be overconfident"
9,GuitarNeXt: An Advanced Convolutional Neural Network Architecture for Music Genre Classification,"Du, P., Zhou, Z., & Li, F. (2025). GuitarNeXt: An Advanced Convolutional Neural Network Architecture for Music Genre Classification. Traitement du Signal, 42(4).","Bu çalışma, müzik türü sınıflandırması için GuitarNeXt adlı yeni nesil bir CNN mimarisi önermektedir. Model; patchify tabanlı stem katmanı, hibrit dikkat mekanizmalı GuitarNeXt ana bloğu, ortalama ve maksimum pooling’i depth concatenation ile birleştiren downsampling yapısı ve global pooling tabanlı çıktı katmanından oluşmaktadır. GTZAN veri setinin spektrogram görüntüleri üzerinde yapılan deneylerde model %96.40 test doğruluğu, %96.59 precision ve %96.49 F1 skoru elde etmiş; yaklaşık 4.7 milyon parametreyle birçok önceki CNN tabanlı yöntemi geride bırakmıştır. Çalışmanın ayırt edici yönü, konvolüsyon ve pooling tabanlı dikkat mekanizmasını hafif bir CNN içinde birleştirerek müzik türü sınıflandırmasına özgü yeni nesil bir mimari önermesidir.",2025,"GTZAN-Music Genre Classification (10 classes, 100 audio files per class; spectrogram images were used)",Single-label music genre classification,"Train/validation/test = 70:17.5:12.5; additionally, an initial 80:20 random split was specified for training/validation","Evaluated on the test set using Accuracy, Overall Precision, Unweighted Average Recall, and F1; confusion matrix and class-wise recall were also reported",Power spectrogram images,Spectrogram / power spectrogram,Spectrogram-based visual features,Hybrid attention CNN / next-generation CNN,"GuitarNeXt (custom CNN with hybrid attention, patchify stem, hybrid downsampling, GAP+GMP output)",ImageNet1k pretraining + staged fine-tuning,"Yes; rotation (45, 90, 135, 180, 225, 270 degrees), salt-and-pepper noise 0.05, and speckle noise; additional rotation augmentation was also used during the three-stage training process","Accuracy, Overall Precision, Unweighted Average Recall, F1-score",96.4,96.49,No,None,~4.7M,Not reported,"The model was evaluated on only one public music genre dataset; therefore, its generalizability to different datasets and recording conditions may be limited",Comprehensive testing under noisy or highly variable real-world audio conditions was not conducted; Transformer/RNN hybrids for modeling temporal dependencies should also be investigated in future work
10,Evaluating Pretrained General-Purpose Audio Representations for Music Genre Classification,"Rai, K., & Bhattacharjee, M. (2026). Evaluating Pretrained General-Purpose Audio Representations for Music Genre Classification. arXiv preprint arXiv:2603.13871.","Bu çalışma, müzik türü sınıflandırması için self-supervised öğrenmeyle elde edilmiş genel amaçlı ses temsillerinin etkinliğini incelemekte ve özellikle BYOL-A embedding’lerini özel tasarlanmış bir DNN sınıflandırıcı ile kullanmaktadır. BYOL-A, PANNs ve VGGish gibi önceden eğitilmiş ses temsil çıkarıcıları karşılaştırılmış; BYOL-A en iyi sonucu vererek GTZAN’da %81.5 ve FMA-Small’da %64.3 doğruluk elde etmiştir. Ayrıca contrastive loss, triplet loss ve çok görevli eğitim stratejileri denenmiş; en iyi sonuç contrastive + cross-entropy ağırlıklı çok görevli kurulumla alınmıştır. Çalışmanın ayırt edici yönü, doğrudan yeni bir MGC omurgası önermek yerine, önceden eğitilmiş genel amaçlı ses embedding’leri üzerinde sınıflandırıcı tasarımı ve eğitim rejiminin etkisini sistematik olarak incelemesidir.",2026,"GTZAN; FMA-Small; additionally, GTZAN+FMA-Small combined 18-class label space",Single-label music genre classification,Not explicitly reported; experiments were conducted as separate training on each dataset and as joint training in a combined 18-class label space,"Feature extractor comparison, architecture search, multi-task training, and domain normalization experiments; the main metric was test accuracy, with additional comparison of loss configurations",Pretrained SSL audio embeddings,"Log-mel spectrogram-based representations are used inside the feature extractor, especially BYOL-A, PANNs, and VGGish",BYOL-A 3072-d embedding; PANNs 2048-d embedding; VGGish 128-d embedding,Embedding-based DNN classifier,BYOL-A / PANNs / VGGish feature extractor + custom DNN classifier,"Self-supervised / pretrained audio representations (BYOL-A, PANNs, VGGish)",Yes; Gaussian noise augmentation in the embedding space (~20 dB),Accuracy,81.5 (GTZAN); 64.3 (FMA-Small); in joint training: 78.0 (GTZAN) and 64.25 (FMA-Small),Not reported,Yes,None,Not reported,Not reported,"Performance decreases in joint 18-class cross-dataset training, indicating the need for domain adaptation","The method strongly depends on the quality of SSL embeddings, and although it performs better than a simple linear classifier, its overall accuracy remains behind current state-of-the-art MGC models"
